Model,5th percentile,Median,95th percentile
Dual \hn{},-0.0104121641002578,-0.0104121641002578,-0.149792385143918
Dual \hr{},-0.637608413911913,-0.637608413911913,-0.722016608838572
Spline,-0.435211335254013,-0.435211335254013,-0.475897025103361
\MakeTitlecase{\hr{}},-0.486866393341043,-0.486866393341043,-0.537700257297115
